"Directory","1","2","3","4","5","6","7","8"
"4A1",4,0,0,0,0,0,0,0
"4A2",0,0,0,0,0,0,0,0
"4A3",0,0,0,0,0,0,0,0
"4A4",0,0,0,0,0,0,0,0
"4A5",0,0,0,0,0,0,0,0
"4A6",0,0,0,0,0,0,0,0
"4A7",0,2,0,0,0,1,0,0
"4A8",3,2,0,1,0,1,0,1
"4B1",2,0,0,0,0,0,0,0
"4B2",0,0,0,0,0,0,0,0
"4B3",0,0,0,0,0,0,0,0
"4B4",0,0,0,0,0,1,0,0
"4B5",0,0,0,0,1,0,0,0
"4B6",0,0,0,0,0,0,0,0
"4B7",0,0,0,0,0,0,0,0
"4B8",0,4,2,0,0,1,0,0
"4C1",0,0,0,0,1,0,0,0
"4C2",0,0,0,0,0,0,0,0
"4C3",0,0,0,0,0,0,0,0
"4C4",0,0,0,0,0,1,0,0
"4C5",1,0,0,0,0,0,0,0
"4C6",0,1,0,0,0,0,0,0
"4C7",0,2,2,0,0,0,0,0
"4C8",0,2,1,0,0,0,0,0
"4D1",2,2,3,2,1,0,0,0
"4D2",0,0,0,1,1,0,0,0
"4D3",0,1,0,0,2,0,0,0
"4D4",2,0,0,2,0,0,0,0
"4D5",3,0,0,0,0,0,0,0
"4D6",2,3,1,1,0,1,0,0
"4D7",2,2,3,0,0,1,0,0
"4D8",1,1,1,0,0,0,0,0
"4E1",3,1,0,0,1,0,0,0
"4E2",2,0,2,1,0,1,1,1
"4E3",0,0,0,0,3,2,0,0
"4E4",2,0,0,2,3,0,0,1
"4E5",5,1,2,3,1,1,0,0
"4E6",3,0,1,3,0,1,0,0
"4E7",3,0,0,0,0,0,0,0
"4E8",3,0,1,1,0,0,0,0
"4F1",2,1,0,1,2,0,0,0
"4F2",2,4,4,2,0,1,0,1
"4F3",0,0,0,0,2,1,0,0
"4F4",1,0,0,2,2,1,0,1
"4F5",2,2,0,1,1,0,1,0
"4F6",3,1,0,3,2,0,0,0
"4F7",3,0,3,1,1,1,0,0
"4F8",3,1,3,2,2,0,0,0
"4G1",4,1,2,1,1,1,0,0
"4G2",0,2,0,2,1,0,0,0
"4G3",1,2,0,0,0,0,0,0
"4G4",0,0,0,0,0,0,0,0
"4G5",2,0,0,1,0,0,1,0
"4G6",2,1,3,0,1,0,0,0
"4G7",1,3,0,1,1,0,0,0
"4G8",1,3,4,4,2,0,0,0
"4H1",1,2,3,1,0,1,0,0
"4H2",3,0,2,2,0,1,0,0
"4H3",2,1,1,0,0,0,0,0
"4H4",2,0,0,1,0,0,0,0
"4H5",1,0,0,0,1,0,0,0
"4H6",2,1,0,2,1,0,0,0
"4H7",3,1,1,0,2,0,0,0
"4H8",1,4,1,2,2,0,1,1
