"Directory","1","2","3","4","5","6","7","8"
"4A1",0,1,0,1,1,0,0,1
"4A2",20,15,6,0,0,0,0,1
"4A3",0,0,1,1,0,0,0,0
"4A4",4,7,2,1,1,0,0,0
"4A5",21,0,0,9,1,0,0,1
"4A6",0,3,0,4,0,1,0,0
"4A7",27,2,3,0,0,0,0,0
"4A8",0,0,1,0,0,0,0,0
"4B1",0,0,0,0,0,0,0,0
"4B2",0,5,2,0,0,1,0,0
"4B3",0,1,0,1,0,0,0,0
"4B4",0,3,6,2,2,1,0,0
"4B5",0,0,3,0,0,2,0,0
"4B6",0,9,3,3,0,0,0,0
"4B7",27,6,1,0,3,0,0,0
"4B8",4,0,1,1,0,2,1,0
"4C1",0,0,4,2,0,0,0,0
"4C2",3,2,0,0,0,2,0,1
"4C3",6,6,1,0,0,0,0,0
"4C4",0,0,0,0,0,0,0,0
"4C5",0,1,27,5,1,1,0,0
"4C6",0,0,0,0,0,0,0,0
"4C7",0,0,0,0,0,0,0,0
"4C8",0,0,1,0,0,0,0,0
"4D1",0,0,0,0,0,0,0,0
"4D2",1,4,6,1,0,1,0,0
"4D3",0,1,13,1,1,0,0,1
"4D4",0,5,0,0,0,0,0,0
"4D5",0,1,0,0,0,0,0,0
"4D6",2,0,0,0,1,0,0,0
"4D7",0,0,0,0,0,0,0,0
"4D8",4,1,0,0,2,0,0,0
"4E1",0,0,0,0,0,0,0,0
"4E2",0,0,0,0,0,0,0,0
"4E3",0,0,3,2,1,5,1,0
"4E4",9,1,0,0,0,0,0,0
"4E5",0,1,1,0,1,0,0,0
"4E6",0,0,0,0,0,0,0,0
"4E7",3,0,0,5,0,0,0,0
"4E8",3,0,0,0,0,0,0,0
"4F1",0,0,0,1,0,0,0,0
"4F2",0,4,4,2,1,0,0,0
"4F3",0,0,9,2,1,0,0,0
"4F4",0,0,0,0,0,0,0,0
"4F5",9,2,5,0,0,1,0,0
"4F6",0,0,0,0,0,0,0,0
"4F7",0,0,4,1,0,0,0,0
"4F8",25,2,0,0,0,0,1,0
"4G1",0,0,0,0,0,0,0,0
"4G2",0,0,0,0,0,0,0,0
"4G3",0,0,1,0,0,0,0,0
"4G4",0,3,1,2,0,1,0,0
"4G5",0,0,0,0,0,0,0,0
"4G6",0,11,4,2,1,0,0,0
"4G7",31,2,0,0,0,0,0,0
"4G8",11,2,1,1,0,0,0,0
"4H1",4,17,7,1,0,0,0,0
"4H2",0,0,0,0,0,0,0,0
"4H3",0,0,1,0,0,1,0,0
"4H4",0,0,0,0,0,0,0,0
"4H5",0,0,13,9,0,0,0,0
"4H6",4,0,0,1,1,0,0,0
"4H7",2,1,0,0,0,0,0,0
"4H8",4,1,1,0,0,0,0,0
