"Directory","1","2","3","4","5","6","7","8"
"8A1",2,0,0,0,0,0,0,0
"8A2",0,0,0,0,0,0,0,0
"8A3",37,6,1,0,2,2,0,1
"8A4",0,1,1,0,0,0,0,0
"8A5",5,0,0,0,0,1,1,0
"8A6",0,0,0,0,0,0,0,0
"8A7",1,3,0,0,0,0,1,1
"8A8",0,0,0,0,0,0,0,0
"8B1",1,0,0,0,1,0,0,0
"8B2",0,0,0,0,0,0,0,0
"8B3",76,1,4,0,3,1,2,0
"8B4",0,0,0,0,0,0,0,0
"8B5",0,0,1,0,1,2,1,0
"8B6",0,0,0,0,0,0,0,0
"8B7",0,0,0,0,0,0,0,0
"8B8",1,0,0,0,0,1,0,0
"8C1",1,1,1,0,1,0,0,2
"8C2",26,3,1,1,2,3,2,2
"8C3",1,0,0,0,0,2,0,0
"8C4",5,0,1,0,1,1,1,0
"8C5",0,0,0,0,0,0,0,0
"8C6",0,0,0,0,0,0,1,0
"8C7",0,0,0,0,0,0,0,0
"8C8",1,0,0,0,0,0,0,0
"8D1",0,0,0,0,0,1,1,0
"8D2",13,0,1,0,1,0,0,1
"8D3",8,1,0,0,1,0,1,0
"8D4",0,0,1,0,1,0,0,0
"8D5",0,0,0,0,0,0,1,1
"8D6",0,1,0,0,0,0,0,0
"8D7",3,0,2,0,0,0,0,1
"8D8",0,0,0,0,0,0,0,0
"8E1",0,0,0,0,1,0,0,0
"8E2",7,1,2,0,0,0,1,2
"8E3",1,2,1,0,0,2,1,0
"8E4",0,1,1,0,0,0,0,0
"8E5",0,0,1,0,0,0,0,0
"8E6",29,3,1,1,1,1,3,1
"8E7",1,0,1,0,1,0,0,0
"8E8",5,0,0,0,0,0,0,1
"8F1",1,0,0,0,1,0,1,0
"8F2",46,1,0,0,2,1,1,1
"8F3",12,1,2,0,1,0,1,0
"8F4",19,2,2,1,1,0,1,0
"8F5",0,0,0,0,0,0,0,0
"8F6",19,1,1,0,0,0,0,0
"8F7",6,1,2,0,2,1,0,2
"8F8",2,0,0,0,0,0,0,0
"8G1",0,0,0,0,0,0,0,0
"8G2",0,0,0,0,0,0,0,0
"8G3",4,0,0,0,0,1,0,0
"8G4",0,0,0,0,1,0,1,1
"8G5",17,1,0,0,0,2,0,1
"8G6",1,0,0,0,0,1,2,9
"8G7",2,0,3,0,2,0,0,0
"8G8",1,0,1,0,0,0,0,0
"8H1",0,0,0,0,0,0,1,0
"8H2",0,0,0,0,0,0,0,0
"8H3",1,0,0,0,0,0,1,0
"8H4",1,0,0,0,0,0,1,0
"8H5",0,0,0,0,0,1,0,0
"8H6",2,0,0,0,0,0,0,0
"8H7",0,2,0,0,2,0,1,0
"8H8",6,0,1,0,1,0,2,2
