"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1A1",0,0,0,0,0,0,0,0,0,0,0
"1A2",1,0,0,0,0,0,0,0,0,0,0
"1A3",1,1,0,0,0,0,0,1,0,0,0
"1A4",1,0,1,1,0,0,0,0,0,0,0
"1A5",0,0,0,0,0,0,0,0,0,0,0
"1A6",1,1,0,0,0,0,0,0,0,0,1
"1A7",1,1,0,0,1,0,0,0,0,0,0
"1A8",1,1,0,1,0,0,0,0,0,0,0
"1B1",0,0,0,0,0,0,0,0,0,0,0
"1B2",0,0,0,0,0,1,0,0,0,0,0
"1B3",1,0,0,1,0,0,0,0,0,0,0
"1B4",0,0,0,0,0,0,0,0,0,0,0
"1B5",0,1,1,1,0,0,0,0,0,0,0
"1B6",0,1,1,0,0,0,0,0,0,0,0
"1B7",1,1,0,1,1,0,0,1,1,0,0
"1B8",1,0,1,0,0,0,0,0,0,0,0
"1C1",0,0,0,1,1,0,0,0,0,0,0
"1C2",0,0,0,0,0,0,1,0,0,0,0
"1C3",1,1,1,0,1,0,0,0,0,0,0
"1C4",1,1,0,0,0,0,0,0,0,0,0
"1C5",1,1,0,0,0,0,1,0,0,0,0
"1C6",1,1,0,1,0,0,1,0,1,0,0
"1C7",1,1,1,1,0,0,0,0,0,0,0
"1C8",1,1,1,1,0,0,0,0,0,0,0
"1D1",0,0,0,0,0,0,0,0,0,0,0
"1D2",1,0,0,0,0,0,0,0,0,0,0
"1D3",1,1,1,0,1,0,0,0,0,1,0
"1D4",0,0,0,0,0,0,0,0,0,0,0
"1D5",0,1,0,0,0,0,0,0,0,0,0
"1D6",1,1,0,0,0,0,0,0,0,0,0
"1D7",1,1,1,1,0,0,0,0,1,0,0
"1D8",0,0,1,0,0,0,0,0,0,0,0
"1E1",0,0,0,0,0,0,0,0,0,0,0
"1E2",1,1,1,0,1,0,0,1,0,1,1
"1E3",0,1,0,0,1,1,0,0,1,0,0
"1E4",1,1,0,0,0,0,0,0,0,1,0
"1E5",1,0,1,0,0,0,0,1,0,1,0
"1E6",1,1,1,0,0,0,1,0,0,1,0
"1E7",1,1,1,1,0,0,1,1,0,0,0
"1E8",1,1,1,0,0,0,0,0,0,0,0
"1F1",0,0,0,0,0,0,0,0,0,0,0
"1F2",0,1,1,0,0,0,0,0,0,0,0
"1F3",0,1,0,0,0,0,0,0,0,0,0
"1F4",1,1,0,0,0,0,0,0,0,0,0
"1F5",0,1,0,1,0,0,0,0,0,0,0
"1F6",1,1,1,0,0,0,0,0,0,0,0
"1F7",1,0,1,0,0,0,0,0,0,0,0
"1F8",1,1,1,0,0,1,0,0,0,0,0
"1G1",1,1,0,0,0,0,0,0,0,0,0
"1G2",1,1,0,0,0,0,0,0,0,0,0
"1G3",1,1,1,1,0,0,1,0,0,0,0
"1G4",1,0,0,0,0,0,0,0,0,0,0
"1G5",1,1,1,0,0,0,0,0,0,0,0
"1G6",1,1,1,0,1,0,0,0,0,0,1
"1G7",0,0,1,1,0,0,0,0,0,0,0
"1G8",0,1,1,1,0,0,1,0,1,0,0
"1H1",0,1,1,1,0,0,0,0,0,0,0
"1H2",1,1,1,0,0,0,1,0,0,0,0
"1H3",1,0,1,0,0,1,0,1,0,1,1
"1H4",0,1,0,0,0,0,1,0,0,0,1
"1H5",1,1,1,1,0,0,0,0,0,1,0
"1H6",1,1,1,0,0,0,1,0,0,0,0
"1H7",1,0,1,0,0,0,1,1,0,1,0
"1H8",1,1,1,0,0,1,0,0,1,0,0
