"Directory","1","2","3","4","5","6","7","8"
"2A1",0,0,0,0,0,0,0,0
"2A2",0,0,0,0,0,0,0,2
"2A3",6,1,0,0,0,0,0,0
"2A4",0,1,0,0,1,0,0,0
"2A5",51,5,2,0,1,0,1,1
"2A6",0,0,0,0,0,0,0,0
"2A7",0,0,0,0,0,0,0,0
"2A8",0,0,0,0,0,0,0,0
"2B1",0,0,0,0,0,0,0,0
"2B2",0,0,0,0,0,0,0,0
"2B3",0,0,0,0,0,0,0,0
"2B4",0,0,0,0,0,0,0,0
"2B5",7,2,0,0,0,0,0,0
"2B6",0,0,0,0,0,0,0,0
"2B7",0,0,0,0,0,0,0,0
"2B8",0,0,0,0,0,0,0,0
"2C1",0,0,0,0,0,0,0,0
"2C2",0,0,0,0,0,0,0,0
"2C3",3,0,1,1,0,0,0,0
"2C4",0,0,0,0,0,0,0,0
"2C5",0,0,0,0,0,0,0,0
"2C6",1,0,0,0,0,0,0,0
"2C7",0,0,0,0,0,0,0,0
"2C8",0,1,0,0,0,0,0,0
"2D1",1,1,0,0,0,0,0,0
"2D2",1,1,0,0,0,0,0,0
"2D3",0,0,0,0,0,0,1,0
"2D4",0,0,0,0,0,0,0,0
"2D5",3,1,0,0,0,0,0,0
"2D6",1,1,3,0,0,0,1,0
"2D7",2,2,1,0,0,1,0,0
"2D8",0,0,0,0,0,0,0,0
"2E1",0,0,0,1,0,0,0,0
"2E2",1,0,0,0,0,0,0,0
"2E3",1,1,0,0,0,0,0,0
"2E4",0,0,0,0,0,0,0,0
"2E5",1,0,0,0,0,0,0,0
"2E6",0,2,0,0,0,0,0,0
"2E7",2,4,0,1,0,0,1,0
"2E8",7,2,1,1,0,0,0,0
"2F1",0,0,0,0,0,0,0,0
"2F2",2,3,1,0,0,1,0,0
"2F3",0,0,0,0,0,0,0,0
"2F4",0,0,0,0,0,0,0,0
"2F5",0,2,0,0,0,0,0,0
"2F6",5,1,0,0,0,0,0,0
"2F7",0,0,0,0,0,0,0,0
"2F8",1,2,3,0,0,2,0,0
"2G1",7,1,0,0,1,0,0,0
"2G2",0,0,0,0,0,0,0,0
"2G3",0,0,0,0,0,0,0,0
"2G4",0,1,2,0,1,0,0,0
"2G5",23,3,1,3,1,0,0,1
"2G6",33,4,0,0,0,0,0,0
"2G7",4,1,2,0,0,0,0,0
"2G8",40,4,0,0,0,0,0,0
"2H1",43,0,1,0,1,0,0,0
"2H2",12,2,0,0,0,0,0,0
"2H3",6,0,0,0,0,0,0,0
"2H4",24,0,0,0,1,0,0,0
"2H5",3,3,1,2,0,1,0,0
"2H6",1,2,0,0,1,0,0,0
"2H7",34,8,3,1,1,0,0,2
"2H8",37,2,3,0,3,2,0,1
